"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 21 13:18:41 GMT 2022","Mon Mar 21 13:18:45 GMT 2022","4428","","CollectionTest","","CollectionTest","paintingSearchTest","Painting search from the search box",""
"passed","Mon Mar 21 13:18:10 GMT 2022","Mon Mar 21 13:18:41 GMT 2022","30397","","CollectionTest","","CollectionTest","openCollectionTest","Open collection page",""
"passed","Mon Mar 21 13:18:45 GMT 2022","Mon Mar 21 13:18:55 GMT 2022","9772","","CollectionTest","","CollectionTest","selectPaintingTest","Select the painting from the search results",""
